T,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.11,0.00285108,0.00569935,0.00854199,0.01137621,0.01419920,0.01700817,0.01980036,0.02257301,0.02532338,0.02804876,0.03074646,0.03341382,0.03604820,0.03864700,0.04120767,0.04372767,0.04620452,0.04863576,0.05101901,0.05335191,0.05563216,0.05785751,0.06002575,0.06213476,0.06418245,0.06616680,0.06808585,0.06993771,0.07172055,0.07343261,0.07507220,0.07663770,0.07812757,0.07954034,0.08087461,0.08212907,0.08330247,0.08439367,0.08540158,0.08632521,0.08716365,0.08791606,0.08858172,0.08915995,0.08965020,0.09005197,0.09036487,0.09058859,0.09072291,0.09076770,0.09072291,0.09058859,0.09036487,0.09005197,0.08965020,0.08915995,0.08858172,0.08791606,0.08716365,0.08632521,0.08540158,0.08439367,0.08330248,0.08212907,0.08087461,0.07954034,0.07812757,0.07663770,0.07507220,0.07343261,0.07172055,0.06993772,0.06808586,0.06616681,0.06418246,0.06213477,0.06002576,0.05785751,0.05563217,0.05335192,0.05101902,0.04863577,0.04620452,0.04372767,0.04120768,0.03864701,0.03604820,0.03341382,0.03074646,0.02804876,0.02532338,0.02257301,0.01980036,0.01700817,0.01419920,0.01137621,0.00854200,0.00569935,0.00285108,0.00000000
0.12,0.00282272,0.00564265,0.00845701,0.01126302,0.01405792,0.01683895,0.01960336,0.02234842,0.02507143,0.02776969,0.03044055,0.03308137,0.03568954,0.03826249,0.04079768,0.04329260,0.04574481,0.04815186,0.05051140,0.05282109,0.05507865,0.05728186,0.05942853,0.06151656,0.06354387,0.06550848,0.06740844,0.06924187,0.07100697,0.07270199,0.07432527,0.07587520,0.07735024,0.07874896,0.08006995,0.08131193,0.08247366,0.08355400,0.08455188,0.08546632,0.08629642,0.08704135,0.08770038,0.08827286,0.08875823,0.08915600,0.08946579,0.08968728,0.08982027,0.08986461,0.08982027,0.08968728,0.08946579,0.08915600,0.08875823,0.08827286,0.08770038,0.08704135,0.08629642,0.08546632,0.08455188,0.08355400,0.08247366,0.08131193,0.08006995,0.07874896,0.07735025,0.07587520,0.07432527,0.07270200,0.07100697,0.06924187,0.06740844,0.06550848,0.06354388,0.06151656,0.05942853,0.05728186,0.05507866,0.05282110,0.05051140,0.04815187,0.04574481,0.04329261,0.04079768,0.03826249,0.03568954,0.03308137,0.03044055,0.02776969,0.02507143,0.02234842,0.01960336,0.01683895,0.01405792,0.01126302,0.00845701,0.00564265,0.00282272,0.00000000
0.13,0.00279463,0.00558650,0.00837286,0.01115096,0.01391805,0.01667141,0.01940831,0.02212606,0.02482198,0.02749340,0.03013768,0.03275223,0.03533445,0.03788180,0.04039176,0.04286187,0.04528967,0.04767278,0.05000884,0.05229555,0.05453065,0.05671193,0.05883725,0.06090450,0.06291165,0.06485671,0.06673776,0.06855295,0.07030049,0.07197865,0.07358578,0.07512028,0.07658065,0.07796545,0.07927330,0.08050292,0.08165309,0.08272268,0.08371064,0.08461598,0.08543781,0.08617533,0.08682781,0.08739459,0.08787513,0.08826895,0.08857565,0.08879494,0.08892660,0.08897051,0.08892660,0.08879494,0.08857565,0.08826895,0.08787513,0.08739459,0.08682781,0.08617533,0.08543782,0.08461598,0.08371064,0.08272269,0.08165309,0.08050292,0.07927330,0.07796545,0.07658065,0.07512029,0.07358578,0.07197865,0.07030049,0.06855296,0.06673776,0.06485671,0.06291165,0.06090450,0.05883725,0.05671194,0.05453065,0.05229555,0.05000885,0.04767278,0.04528967,0.04286187,0.04039177,0.03788180,0.03533445,0.03275223,0.03013769,0.02749340,0.02482198,0.02212607,0.01940832,0.01667141,0.01391805,0.01115096,0.00837286,0.00558651,0.00279463,0.00000000
0.14,0.00276683,0.00553092,0.00828956,0.01104001,0.01377958,0.01650554,0.01921521,0.02190592,0.02457501,0.02721985,0.02983783,0.03242636,0.03498289,0.03750490,0.03998989,0.04243542,0.04483906,0.04719846,0.04951128,0.05177524,0.05398810,0.05614768,0.05825185,0.06029853,0.06228571,0.06421142,0.06607376,0.06787089,0.06960104,0.07126250,0.07285364,0.07437288,0.07581872,0.07718973,0.07848457,0.07970196,0.08084069,0.08189964,0.08287776,0.08377410,0.08458776,0.08531794,0.08596392,0.08652506,0.08700082,0.08739072,0.08769437,0.08791148,0.08804183,0.08808530,0.08804183,0.08791148,0.08769437,0.08739072,0.08700082,0.08652507,0.08596392,0.08531794,0.08458776,0.08377410,0.08287776,0.08189964,0.08084069,0.07970196,0.07848458,0.07718974,0.07581872,0.07437288,0.07285364,0.07126251,0.06960104,0.06787089,0.06607376,0.06421142,0.06228571,0.06029854,0.05825186,0.05614768,0.05398810,0.05177524,0.04951128,0.04719847,0.04483907,0.04243542,0.03998989,0.03750490,0.03498289,0.03242636,0.02983783,0.02721986,0.02457502,0.02190593,0.01921521,0.01650554,0.01377958,0.01104002,0.00828956,0.00553092,0.00276683,0.00000000
0.15,0.00273930,0.00547589,0.00820708,0.01093017,0.01364248,0.01634132,0.01902403,0.02168797,0.02433051,0.02694903,0.02954096,0.03210374,0.03463483,0.03713174,0.03959201,0.04201321,0.04439294,0.04672886,0.04901867,0.05126010,0.05345095,0.05558904,0.05767228,0.05969860,0.06166600,0.06357255,0.06541636,0.06719561,0.06890855,0.07055348,0.07212878,0.07363291,0.07506436,0.07642174,0.07770370,0.07890897,0.08003637,0.08108478,0.08205317,0.08294059,0.08374615,0.08446907,0.08510862,0.08566419,0.08613521,0.08652123,0.08682186,0.08703681,0.08716586,0.08720890,0.08716587,0.08703681,0.08682186,0.08652123,0.08613521,0.08566419,0.08510863,0.08446907,0.08374616,0.08294059,0.08205318,0.08108478,0.08003637,0.07890897,0.07770370,0.07642174,0.07506436,0.07363291,0.07212879,0.07055348,0.06890855,0.06719561,0.06541636,0.06357255,0.06166601,0.05969860,0.05767228,0.05558905,0.05345095,0.05126011,0.04901867,0.04672887,0.04439294,0.04201321,0.03959201,0.03713174,0.03463483,0.03210374,0.02954096,0.02694903,0.02433051,0.02168797,0.01902403,0.01634132,0.01364248,0.01093017,0.00820708,0.00547589,0.00273930,0.00000000
0.16,0.00271204,0.00542141,0.00812543,0.01082142,0.01350674,0.01617873,0.01883475,0.02147219,0.02408843,0.02668090,0.02924704,0.03178432,0.03429023,0.03676230,0.03919809,0.04159520,0.04395125,0.04626394,0.04853096,0.05075009,0.05291914,0.05503596,0.05709847,0.05910463,0.06105246,0.06294004,0.06476550,0.06652705,0.06822294,0.06985151,0.07141114,0.07290030,0.07431751,0.07566138,0.07693059,0.07812387,0.07924005,0.08027803,0.08123679,0.08211538,0.08291293,0.08362865,0.08426184,0.08481188,0.08527821,0.08566039,0.08595803,0.08617084,0.08629861,0.08634122,0.08629861,0.08617084,0.08595803,0.08566039,0.08527821,0.08481188,0.08426184,0.08362865,0.08291293,0.08211538,0.08123679,0.08027803,0.07924005,0.07812387,0.07693059,0.07566139,0.07431752,0.07290030,0.07141115,0.06985151,0.06822295,0.06652705,0.06476551,0.06294004,0.06105246,0.05910463,0.05709847,0.05503597,0.05291914,0.05075010,0.04853096,0.04626394,0.04395126,0.04159520,0.03919809,0.03676230,0.03429023,0.03178432,0.02924705,0.02668090,0.02408843,0.02147219,0.01883475,0.01617873,0.01350674,0.01082142,0.00812543,0.00542141,0.00271204,0.00000000
0.17,0.00268506,0.00536747,0.00804458,0.01071376,0.01337236,0.01601776,0.01864736,0.02125855,0.02384876,0.02641544,0.02895605,0.03146808,0.03394906,0.03639654,0.03880809,0.04118135,0.04351396,0.04580364,0.04804811,0.05024516,0.05239262,0.05448838,0.05653037,0.05851657,0.06044502,0.06231382,0.06412112,0.06586514,0.06754416,0.06915653,0.07070064,0.07217498,0.07357809,0.07490860,0.07616517,0.07734658,0.07845166,0.07947931,0.08042853,0.08129837,0.08208799,0.08279659,0.08342348,0.08396804,0.08442974,0.08480812,0.08510280,0.08531349,0.08543999,0.08548217,0.08543999,0.08531349,0.08510280,0.08480812,0.08442974,0.08396805,0.08342348,0.08279659,0.08208799,0.08129838,0.08042853,0.07947931,0.07845166,0.07734658,0.07616517,0.07490860,0.07357810,0.07217499,0.07070064,0.06915653,0.06754417,0.06586515,0.06412112,0.06231382,0.06044502,0.05851657,0.05653038,0.05448839,0.05239263,0.05024516,0.04804811,0.04580364,0.04351397,0.04118135,0.03880810,0.03639654,0.03394907,0.03146809,0.02895605,0.02641544,0.02384877,0.02125855,0.01864736,0.01601776,0.01337236,0.01071376,0.00804458,0.00536747,0.00268506,0.00000000
0.18,0.00265834,0.00531407,0.00796454,0.01060716,0.01323931,0.01585839,0.01846183,0.02104704,0.02361148,0.02615262,0.02866795,0.03115499,0.03361129,0.03603441,0.03842197,0.04077162,0.04308102,0.04534791,0.04757005,0.04974525,0.05187135,0.05394626,0.05596793,0.05793436,0.05984363,0.06169383,0.06348315,0.06520982,0.06687214,0.06846846,0.06999721,0.07145688,0.07284603,0.07416330,0.07540737,0.07657702,0.07767111,0.07868853,0.07962831,0.08048950,0.08127126,0.08197281,0.08259346,0.08313261,0.08358971,0.08396432,0.08425607,0.08446467,0.08458991,0.08463167,0.08458991,0.08446467,0.08425607,0.08396432,0.08358971,0.08313261,0.08259346,0.08197281,0.08127126,0.08048950,0.07962831,0.07868854,0.07767111,0.07657703,0.07540737,0.07416330,0.07284604,0.07145688,0.06999721,0.06846846,0.06687214,0.06520982,0.06348315,0.06169383,0.05984363,0.05793437,0.05596793,0.05394626,0.05187135,0.04974525,0.04757006,0.04534792,0.04308103,0.04077162,0.03842198,0.03603441,0.03361129,0.03115500,0.02866796,0.02615263,0.02361148,0.02104704,0.01846183,0.01585839,0.01323931,0.01060716,0.00796454,0.00531407,0.00265835,0.00000000
0.19,0.00263190,0.00526119,0.00788530,0.01050163,0.01310759,0.01570061,0.01827814,0.02083763,0.02337656,0.02589242,0.02838272,0.03084502,0.03327687,0.03567589,0.03803970,0.04036596,0.04265239,0.04489673,0.04709676,0.04925031,0.05135525,0.05340952,0.05541108,0.05735795,0.05924821,0.06108001,0.06285153,0.06456102,0.06620680,0.06778723,0.06930077,0.07074592,0.07212126,0.07342541,0.07465711,0.07581512,0.07689832,0.07790563,0.07883605,0.07968867,0.08046265,0.08115722,0.08177170,0.08230549,0.08275804,0.08312892,0.08341777,0.08362429,0.08374829,0.08378963,0.08374829,0.08362429,0.08341777,0.08312892,0.08275804,0.08230549,0.08177171,0.08115723,0.08046265,0.07968868,0.07883605,0.07790563,0.07689832,0.07581513,0.07465711,0.07342541,0.07212126,0.07074593,0.06930078,0.06778724,0.06620680,0.06456102,0.06285153,0.06108001,0.05924822,0.05735795,0.05541108,0.05340952,0.05135526,0.04925031,0.04709676,0.04489673,0.04265239,0.04036596,0.03803970,0.03567589,0.03327688,0.03084502,0.02838273,0.02589242,0.02337656,0.02083763,0.01827814,0.01570061,0.01310759,0.01050163,0.00788530,0.00526119,0.00263190,0.00000000
0.2,0.00260571,0.00520885,0.00780685,0.01039714,0.01297717,0.01554440,0.01809628,0.02063031,0.02314398,0.02563480,0.02810033,0.03053813,0.03294579,0.03532093,0.03766122,0.03996434,0.04222802,0.04445003,0.04662817,0.04876029,0.05084430,0.05287812,0.05485977,0.05678727,0.05865873,0.06047230,0.06222619,0.06391867,0.06554807,0.06711279,0.06861127,0.07004204,0.07140369,0.07269487,0.07391431,0.07506080,0.07613322,0.07713051,0.07805168,0.07889581,0.07966209,0.08034975,0.08095812,0.08148659,0.08193464,0.08230184,0.08258781,0.08279227,0.08291504,0.08295597,0.08291504,0.08279228,0.08258781,0.08230184,0.08193464,0.08148659,0.08095812,0.08034976,0.07966209,0.07889582,0.07805168,0.07713051,0.07613323,0.07506081,0.07391431,0.07269487,0.07140369,0.07004204,0.06861127,0.06711279,0.06554808,0.06391867,0.06222619,0.06047230,0.05865873,0.05678727,0.05485977,0.05287813,0.05084430,0.04876030,0.04662817,0.04445003,0.04222803,0.03996434,0.03766122,0.03532094,0.03294579,0.03053813,0.02810033,0.02563481,0.02314398,0.02063031,0.01809628,0.01554440,0.01297717,0.01039714,0.00780685,0.00520885,0.00260571,0.00000000
0.21,0.00257978,0.00515702,0.00772917,0.01029369,0.01284806,0.01538974,0.01791624,0.02042505,0.02291371,0.02537975,0.02782075,0.03023429,0.03261800,0.03496951,0.03728651,0.03956672,0.04180788,0.04400778,0.04616425,0.04827516,0.05033843,0.05235202,0.05431394,0.05622227,0.05807511,0.05987063,0.06160707,0.06328272,0.06489591,0.06644505,0.06792863,0.06934516,0.07069326,0.07197160,0.07317890,0.07431399,0.07537574,0.07636310,0.07727510,0.07811085,0.07886950,0.07955032,0.08015263,0.08067584,0.08111944,0.08148298,0.08176610,0.08196854,0.08209008,0.08213060,0.08209008,0.08196854,0.08176610,0.08148298,0.08111944,0.08067585,0.08015263,0.07955032,0.07886950,0.07811085,0.07727511,0.07636311,0.07537574,0.07431399,0.07317890,0.07197160,0.07069326,0.06934516,0.06792863,0.06644506,0.06489591,0.06328272,0.06160708,0.05987064,0.05807511,0.05622227,0.05431394,0.05235202,0.05033843,0.04827516,0.04616425,0.04400778,0.04180788,0.03956672,0.03728652,0.03496951,0.03261800,0.03023429,0.02782075,0.02537975,0.02291371,0.02042505,0.01791624,0.01538974,0.01284806,0.01029369,0.00772917,0.00515702,0.00257978,0.00000000
0.22,0.00255412,0.00510571,0.00765227,0.01019128,0.01272023,0.01523662,0.01773798,0.02022183,0.02268573,0.02512724,0.02754395,0.02993348,0.03229346,0.03462158,0.03691553,0.03917305,0.04139191,0.04356992,0.04570494,0.04779485,0.04983759,0.05183114,0.05377355,0.05566289,0.05749729,0.05927495,0.06099412,0.06265309,0.06425023,0.06578396,0.06725277,0.06865521,0.06998990,0.07125552,0.07245081,0.07357461,0.07462579,0.07560333,0.07650626,0.07733368,0.07808479,0.07875884,0.07935516,0.07987316,0.08031235,0.08067227,0.08095258,0.08115300,0.08127333,0.08131345,0.08127333,0.08115300,0.08095258,0.08067227,0.08031235,0.07987316,0.07935516,0.07875884,0.07808479,0.07733369,0.07650626,0.07560333,0.07462580,0.07357461,0.07245081,0.07125552,0.06998990,0.06865522,0.06725278,0.06578396,0.06425023,0.06265309,0.06099412,0.05927495,0.05749729,0.05566289,0.05377355,0.05183114,0.04983759,0.04779485,0.04570494,0.04356993,0.04139191,0.03917305,0.03691553,0.03462158,0.03229347,0.02993348,0.02754395,0.02512724,0.02268573,0.02022183,0.01773798,0.01523662,0.01272023,0.01019128,0.00765227,0.00510571,0.00255412,0.00000000
