x        y 
0.00000, 0.00000
1.00000, 0.01183
2.00000, 0.02360
3.00000, 0.03527
4.00000, 0.04677
5.00000, 0.05807
6.00000, 0.06910
7.00000, 0.07984
8.00000, 0.09024
9.00000, 0.10026
10.00000, 0.10985
11.00000, 0.11900
12.00000, 0.12765
13.00000, 0.13579
14.00000, 0.14338
15.00000, 0.15039
16.00000, 0.15682
17.00000, 0.16262
18.00000, 0.16779
19.00000, 0.17230
20.00000, 0.17614
21.00000, 0.17930
22.00000, 0.18177
23.00000, 0.18354
24.00000, 0.18460
25.00000, 0.18496
26.00000, 0.18460
27.00000, 0.18354
28.00000, 0.18177
29.00000, 0.17930
30.00000, 0.17614
31.00000, 0.17230
32.00000, 0.16779
33.00000, 0.16262
34.00000, 0.15682
35.00000, 0.15039
36.00000, 0.14338
37.00000, 0.13579
38.00000, 0.12765
39.00000, 0.11900
40.00000, 0.10985
41.00000, 0.10026
42.00000, 0.09024
43.00000, 0.07984
44.00000, 0.06910
45.00000, 0.05807
46.00000, 0.04677
47.00000, 0.03527
48.00000, 0.02360
49.00000, 0.01183
50.00000, 0.00000
