T,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.11,0.00285108,0.00569935,0.00854200,0.01137621,0.01419920,0.01700818,0.01980037,0.02257302,0.02532340,0.02804878,0.03074648,0.03341384,0.03604822,0.03864703,0.04120770,0.04372771,0.04620457,0.04863583,0.05101909,0.05335199,0.05563224,0.05785760,0.06002586,0.06213485,0.06418255,0.06616690,0.06808595,0.06993781,0.07172064,0.07343271,0.07507232,0.07663781,0.07812767,0.07954045,0.08087471,0.08212918,0.08330256,0.08439377,0.08540165,0.08632529,0.08716374,0.08791615,0.08858181,0.08916003,0.08965027,0.09005204,0.09036493,0.09058864,0.09072298,0.09076776,0.09072299,0.09058867,0.09036493,0.09005205,0.08965027,0.08916004,0.08858182,0.08791617,0.08716377,0.08632532,0.08540168,0.08439377,0.08330258,0.08212917,0.08087471,0.07954045,0.07812767,0.07663780,0.07507230,0.07343273,0.07172067,0.06993782,0.06808596,0.06616689,0.06418253,0.06213485,0.06002583,0.05785757,0.05563223,0.05335198,0.05101907,0.04863581,0.04620457,0.04372772,0.04120772,0.03864705,0.03604824,0.03341386,0.03074649,0.02804879,0.02532340,0.02257303,0.01980038,0.01700819,0.01419921,0.01137622,0.00854200,0.00569935,0.00285108,0.00000000
0.12,0.00282272,0.00564265,0.00845701,0.01126303,0.01405793,0.01683896,0.01960337,0.02234844,0.02507145,0.02776971,0.03044058,0.03308140,0.03568958,0.03826253,0.04079772,0.04329265,0.04574486,0.04815193,0.05051147,0.05282118,0.05507874,0.05728194,0.05942862,0.06151666,0.06354398,0.06550858,0.06740853,0.06924197,0.07100707,0.07270209,0.07432536,0.07587530,0.07735036,0.07874907,0.08007007,0.08131203,0.08247378,0.08355410,0.08455200,0.08546644,0.08629651,0.08704145,0.08770046,0.08827294,0.08875830,0.08915608,0.08946587,0.08968737,0.08982034,0.08986470,0.08982036,0.08968738,0.08946591,0.08915612,0.08875836,0.08827298,0.08770049,0.08704147,0.08629653,0.08546644,0.08455200,0.08355412,0.08247377,0.08131205,0.08007008,0.07874908,0.07735038,0.07587533,0.07432540,0.07270210,0.07100707,0.06924197,0.06740852,0.06550857,0.06354397,0.06151664,0.05942862,0.05728195,0.05507873,0.05282117,0.05051148,0.04815193,0.04574487,0.04329267,0.04079774,0.03826255,0.03568959,0.03308141,0.03044059,0.02776973,0.02507146,0.02234844,0.01960338,0.01683897,0.01405794,0.01126304,0.00845701,0.00564265,0.00282272,0.00000000
0.13,0.00279463,0.00558651,0.00837287,0.01115097,0.01391807,0.01667142,0.01940833,0.02212608,0.02482201,0.02749343,0.03013771,0.03275226,0.03533448,0.03788183,0.04039180,0.04286191,0.04528972,0.04767284,0.05000892,0.05229563,0.05453073,0.05671203,0.05883735,0.06090460,0.06291176,0.06485681,0.06673787,0.06855306,0.07030059,0.07197876,0.07358589,0.07512040,0.07658076,0.07796555,0.07927339,0.08050302,0.08165319,0.08272279,0.08371073,0.08461608,0.08543792,0.08617544,0.08682792,0.08739470,0.08787524,0.08826905,0.08857575,0.08879504,0.08892673,0.08897062,0.08892673,0.08879508,0.08857577,0.08826907,0.08787525,0.08739471,0.08682793,0.08617545,0.08543794,0.08461610,0.08371076,0.08272282,0.08165324,0.08050306,0.07927344,0.07796558,0.07658077,0.07512040,0.07358589,0.07197878,0.07030062,0.06855309,0.06673789,0.06485683,0.06291176,0.06090461,0.05883735,0.05671202,0.05453074,0.05229564,0.05000892,0.04767286,0.04528974,0.04286193,0.04039183,0.03788186,0.03533450,0.03275228,0.03013773,0.02749344,0.02482202,0.02212610,0.01940835,0.01667144,0.01391807,0.01115098,0.00837288,0.00558651,0.00279463,0.00000000
0.14,0.00276683,0.00553093,0.00828956,0.01104002,0.01377959,0.01650555,0.01921523,0.02190594,0.02457503,0.02721987,0.02983786,0.03242639,0.03498292,0.03750494,0.03998993,0.04243546,0.04483911,0.04719851,0.04951134,0.05177533,0.05398820,0.05614778,0.05825196,0.06029866,0.06228583,0.06421155,0.06607388,0.06787100,0.06960116,0.07126261,0.07285374,0.07437297,0.07581881,0.07718981,0.07848466,0.07970203,0.08084078,0.08189973,0.08287787,0.08377421,0.08458786,0.08531804,0.08596402,0.08652516,0.08700093,0.08739083,0.08769450,0.08791161,0.08804195,0.08808543,0.08804196,0.08791161,0.08769453,0.08739085,0.08700096,0.08652519,0.08596404,0.08531807,0.08458787,0.08377422,0.08287789,0.08189976,0.08084080,0.07970209,0.07848470,0.07718986,0.07581885,0.07437301,0.07285377,0.07126262,0.06960116,0.06787100,0.06607387,0.06421153,0.06228583,0.06029865,0.05825197,0.05614780,0.05398820,0.05177533,0.04951137,0.04719855,0.04483915,0.04243550,0.03998996,0.03750496,0.03498295,0.03242641,0.02983789,0.02721990,0.02457506,0.02190596,0.01921525,0.01650557,0.01377960,0.01104003,0.00828957,0.00553093,0.00276683,0.00000000
0.15,0.00273930,0.00547590,0.00820709,0.01093018,0.01364249,0.01634133,0.01902405,0.02168799,0.02433053,0.02694906,0.02954098,0.03210377,0.03463487,0.03713178,0.03959206,0.04201325,0.04439300,0.04672894,0.04901876,0.05126019,0.05345103,0.05558914,0.05767239,0.05969870,0.06166612,0.06357267,0.06541649,0.06719574,0.06890866,0.07055358,0.07212888,0.07363301,0.07506446,0.07642183,0.07770378,0.07890907,0.08003646,0.08108488,0.08205326,0.08294068,0.08374625,0.08446916,0.08510873,0.08566429,0.08613533,0.08652136,0.08682199,0.08703694,0.08716602,0.08720905,0.08716601,0.08703696,0.08682200,0.08652138,0.08613534,0.08566432,0.08510876,0.08446919,0.08374628,0.08294072,0.08205330,0.08108491,0.08003650,0.07890909,0.07770383,0.07642186,0.07506448,0.07363302,0.07212891,0.07055361,0.06890868,0.06719574,0.06541649,0.06357268,0.06166613,0.05969873,0.05767241,0.05558917,0.05345108,0.05126022,0.04901878,0.04672897,0.04439304,0.04201329,0.03959209,0.03713182,0.03463490,0.03210381,0.02954102,0.02694909,0.02433055,0.02168801,0.01902407,0.01634135,0.01364250,0.01093019,0.00820710,0.00547590,0.00273930,0.00000000
0.16,0.00271205,0.00542142,0.00812543,0.01082144,0.01350676,0.01617875,0.01883477,0.02147221,0.02408846,0.02668093,0.02924708,0.03178436,0.03429027,0.03676235,0.03919814,0.04159525,0.04395131,0.04626399,0.04853102,0.05075017,0.05291923,0.05503606,0.05709857,0.05910474,0.06105257,0.06294016,0.06476561,0.06652715,0.06822304,0.06985162,0.07141125,0.07290041,0.07431762,0.07566148,0.07693069,0.07812396,0.07924015,0.08027813,0.08123689,0.08211547,0.08291302,0.08362876,0.08426195,0.08481201,0.08527835,0.08566052,0.08595818,0.08617099,0.08629874,0.08634135,0.08629875,0.08617097,0.08595816,0.08566051,0.08527835,0.08481201,0.08426195,0.08362878,0.08291306,0.08211552,0.08123694,0.08027817,0.07924020,0.07812402,0.07693072,0.07566152,0.07431765,0.07290044,0.07141127,0.06985164,0.06822307,0.06652719,0.06476563,0.06294017,0.06105260,0.05910476,0.05709860,0.05503609,0.05291926,0.05075021,0.04853108,0.04626405,0.04395137,0.04159530,0.03919819,0.03676239,0.03429032,0.03178439,0.02924711,0.02668096,0.02408849,0.02147224,0.01883480,0.01617877,0.01350677,0.01082145,0.00812544,0.00542142,0.00271205,0.00000000
0.17,0.00268506,0.00536748,0.00804459,0.01071377,0.01337237,0.01601778,0.01864738,0.02125857,0.02384879,0.02641548,0.02895609,0.03146813,0.03394911,0.03639658,0.03880814,0.04118139,0.04351401,0.04580370,0.04804818,0.05024523,0.05239270,0.05448848,0.05653048,0.05851669,0.06044514,0.06231394,0.06412125,0.06586526,0.06754427,0.06915662,0.07070073,0.07217509,0.07357820,0.07490871,0.07616529,0.07734671,0.07845177,0.07947943,0.08042863,0.08129849,0.08208811,0.08279670,0.08342360,0.08396816,0.08442988,0.08480825,0.08510294,0.08531363,0.08544015,0.08548232,0.08544013,0.08531363,0.08510294,0.08480827,0.08442988,0.08396818,0.08342364,0.08279674,0.08208814,0.08129853,0.08042867,0.07947945,0.07845178,0.07734670,0.07616529,0.07490870,0.07357821,0.07217509,0.07070075,0.06915663,0.06754428,0.06586525,0.06412123,0.06231393,0.06044512,0.05851669,0.05653050,0.05448850,0.05239274,0.05024527,0.04804821,0.04580374,0.04351406,0.04118144,0.03880818,0.03639662,0.03394914,0.03146816,0.02895612,0.02641550,0.02384882,0.02125860,0.01864740,0.01601780,0.01337239,0.01071378,0.00804460,0.00536748,0.00268507,0.00000000
0.18,0.00265835,0.00531407,0.00796455,0.01060717,0.01323933,0.01585841,0.01846185,0.02104706,0.02361151,0.02615266,0.02866799,0.03115503,0.03361133,0.03603446,0.03842202,0.04077167,0.04308108,0.04534797,0.04757012,0.04974532,0.05187143,0.05394634,0.05596801,0.05793446,0.05984372,0.06169394,0.06348327,0.06520995,0.06687229,0.06846862,0.06999737,0.07145703,0.07284617,0.07416343,0.07540750,0.07657713,0.07767123,0.07868865,0.07962844,0.08048962,0.08127137,0.08197293,0.08259358,0.08313273,0.08358984,0.08396445,0.08425619,0.08446480,0.08459003,0.08463181,0.08459006,0.08446482,0.08425623,0.08396447,0.08358987,0.08313277,0.08259360,0.08197296,0.08127140,0.08048964,0.07962845,0.07868866,0.07767123,0.07657716,0.07540750,0.07416342,0.07284615,0.07145701,0.06999733,0.06846859,0.06687225,0.06520994,0.06348326,0.06169394,0.05984373,0.05793446,0.05596803,0.05394637,0.05187146,0.04974536,0.04757017,0.04534803,0.04308113,0.04077172,0.03842207,0.03603450,0.03361136,0.03115505,0.02866802,0.02615268,0.02361153,0.02104709,0.01846187,0.01585843,0.01323934,0.01060719,0.00796456,0.00531408,0.00265835,0.00000000
0.19,0.00263190,0.00526120,0.00788531,0.01050164,0.01310760,0.01570063,0.01827817,0.02083766,0.02337659,0.02589245,0.02838276,0.03084506,0.03327692,0.03567592,0.03803974,0.04036600,0.04265244,0.04489679,0.04709683,0.04925038,0.05135533,0.05340961,0.05541117,0.05735806,0.05924834,0.06108015,0.06285168,0.06456118,0.06620695,0.06778739,0.06930093,0.07074609,0.07212143,0.07342558,0.07465727,0.07581529,0.07689847,0.07790578,0.07883619,0.07968882,0.08046279,0.08115736,0.08177184,0.08230563,0.08275818,0.08312906,0.08341792,0.08362444,0.08374845,0.08378979,0.08374844,0.08362446,0.08341794,0.08312911,0.08275821,0.08230564,0.08177187,0.08115737,0.08046281,0.07968883,0.07883620,0.07790580,0.07689849,0.07581528,0.07465726,0.07342556,0.07212141,0.07074606,0.06930091,0.06778735,0.06620690,0.06456111,0.06285163,0.06108011,0.05924831,0.05735806,0.05541119,0.05340962,0.05135535,0.04925041,0.04709686,0.04489683,0.04265249,0.04036605,0.03803978,0.03567597,0.03327696,0.03084510,0.02838279,0.02589248,0.02337662,0.02083768,0.01827819,0.01570065,0.01310762,0.01050165,0.00788532,0.00526121,0.00263190,0.00000000
0.2,0.00260571,0.00520886,0.00780686,0.01039716,0.01297719,0.01554442,0.01809631,0.02063034,0.02314401,0.02563484,0.02810037,0.03053817,0.03294583,0.03532098,0.03766126,0.03996440,0.04222808,0.04445009,0.04662824,0.04876037,0.05084438,0.05287821,0.05485985,0.05678736,0.05865883,0.06047241,0.06222631,0.06391880,0.06554821,0.06711294,0.06861144,0.07004221,0.07140387,0.07269505,0.07391450,0.07506099,0.07613342,0.07713069,0.07805186,0.07889599,0.07966227,0.08034994,0.08095829,0.08148677,0.08193482,0.08230202,0.08258799,0.08279246,0.08291520,0.08295614,0.08291522,0.08279245,0.08258797,0.08230198,0.08193480,0.08148676,0.08095828,0.08034992,0.07966225,0.07889596,0.07805184,0.07713065,0.07613337,0.07506096,0.07391448,0.07269502,0.07140383,0.07004219,0.06861141,0.06711294,0.06554822,0.06391881,0.06222631,0.06047241,0.05865884,0.05678737,0.05485987,0.05287823,0.05084440,0.04876038,0.04662826,0.04445012,0.04222811,0.03996443,0.03766131,0.03532102,0.03294586,0.03053819,0.02810040,0.02563487,0.02314403,0.02063036,0.01809633,0.01554444,0.01297720,0.01039717,0.00780687,0.00520886,0.00260572,0.00000000
